CTGF
LMO4
ETV1
PCP4
CXCL14
NTNG2
NR4A2
CUX2
RELN
CALB1
B3GALT2
CBLN2
RXFP1
CDH24
GABRA5
CARTPT
OPRK1
RPRM
CACNA1E
FEZF2
HTR2C
PDE1A
VAT1L
GSG1L
C1QL2
MEF2C
ETV1
BHLHE22
SEMA3E
TRIB2
KCNIP2
KITLG
SLITRK1
SCN3B
KCNK2
SYNPR
CCK
FAM3C
ANXA1
FXYD6
RASGRF2
DKK3
RORB
TLE1
GPR6
TOX
PCDH17
POU3F1
BEND5
UNC5D
ATP2B4
CNR1
PCP4
TLE4
CRIM1
CPNE7
TLE4
PENK
SYT6
TH
BCL11B
SATB2
FOXP2
TBR1
CRYM
RAC3
PDYN
KCNA1
SNCG
SYT17
CARTPT
KCNH4
CHRNA7
MFGE8
LXN
ADRA2A
AKR1C2
CHRNA3
MARCKSL1
CYR61
AKR1C3
NEFH
LMO3
TMEM163
LGALS1
PRSS12
SCN4B
PLXND1
LHX2
COL6A1
NR4A3
GRIK4
SYT2
WFS1
INPP4B
OPN3
ID2
OMA1
IGFBP4
COL24A1
CUX1
FOXO1
S100A10
KCNIP2
KCNIP1
TLE3
SEMA3C
DTX4
MDGA1
SOX5
OTX1
SV2C
LIX1
PCDH20
TPBG
RGS8
IGSF11
LDB2
SYT10
NPY2R
CYP39A1
CNTN6
DIAPH3
PPP1R1B
CRYM
SYT9
