C4orf31
Chrna7
Cnr1
Cxcl14
Reln
Inpp4b
Gsg1L
Igsf11
Kcnip2
Pvrl3
Rasgrf2
Syt17
Wfs1
C1ql2
C20orf103
Cartpt
Calb1
Cux2
Atp2b4
Cbln2
Cck
Fxyd6
Penk
Cacna1e
Kcnh4
Scn3b
Col24a1
Crym
Tpbg
Bend5
Col6a1
Prss12
Scn4b
Syt2
Lgals1
Mfge8
Sv2c
Sncg
Rorb
Cacng5
Chrna3
Grik4
Kcnip1
Pdyn
Trib2
Cpne7
Etv1
Fam3c
Tox
Vat1l
Kiaa1456
Htr2c
B3galt2
Kcnk2
Pcp4
Pde1a
Rprm
Rxfp1
Gabra5
Pcdh20
Kcna1
Cdh24
Cyr61
Foxp2
Ntng2
Syt10
Syt6
Th
Tle4
Tmem163
Akr1c2
Akr1c3
Anxa1
Npy2r
Oprk1
Pcdh17
Sema3c
Synpr
Adra2a
Ctgf
Nr4a2
